apple	https://www.apple.com
stripe	https://stripe.com
linear-app	https://linear.app
vercel	https://vercel.com
notion	https://www.notion.com
spotify	https://open.spotify.com
figma	https://www.figma.com
github	https://github.com
openai	https://openai.com
claude	https://claude.ai
airbnb	https://www.airbnb.com
airtable	https://www.airtable.com
ant	https://ant.design
arc	https://arc.net
binance	https://www.binance.com
bmw	https://www.bmw.com
bugatti	https://www.bugatti.com
cal	https://cal.com
canva	https://www.canva.com
clay	https://www.clay.com
clickhouse	https://clickhouse.com
cohere	https://cohere.com
coinbase	https://www.coinbase.com
composio	https://composio.dev
cursor	https://cursor.com
discord	https://discord.com
duolingo	https://www.duolingo.com
elevenlabs	https://elevenlabs.io
expo	https://expo.dev
ferrari	https://www.ferrari.com
framer	https://www.framer.com
hashicorp	https://www.hashicorp.com
huggingface	https://huggingface.co
ibm	https://www.ibm.com
intercom	https://www.intercom.com
kraken	https://www.kraken.com
lamborghini	https://www.lamborghini.com
lovable	https://lovable.dev
mastercard	https://www.mastercard.com
material	https://m3.material.io
meta	https://www.meta.com
minimax	https://www.minimax.io
mintlify	https://mintlify.com
miro	https://miro.com
mistral-ai	https://mistral.ai
mongodb	https://www.mongodb.com
nike	https://www.nike.com
nvidia	https://www.nvidia.com
ollama	https://ollama.com
opencode-ai	https://opencode.ai
pinterest	https://www.pinterest.com
playstation	https://www.playstation.com
posthog	https://posthog.com
raycast	https://www.raycast.com
renault	https://www.renault.com
replicate	https://replicate.com
resend	https://resend.com
revolut	https://www.revolut.com
runwayml	https://runwayml.com
sanity	https://www.sanity.io
sentry	https://sentry.io
shadcn	https://ui.shadcn.com
shopify	https://www.shopify.com
spacex	https://www.spacex.com
starbucks	https://www.starbucks.com
supabase	https://supabase.com
superhuman	https://superhuman.com
tesla	https://www.tesla.com
theverge	https://www.theverge.com
together-ai	https://www.together.ai
uber	https://www.uber.com
vodafone	https://www.vodafone.com
voltagent	https://voltagent.dev
warp	https://www.warp.dev
webflow	https://webflow.com
wired	https://www.wired.com
wise	https://wise.com
x-ai	https://x.ai
xiaohongshu	https://www.xiaohongshu.com
zapier	https://zapier.com
